Date,Open,High,Low,Close,Adj Close,Volume
2019-10-14,53.480000,54.380001,52.840000,53.770000,53.284119,674300
2019-10-15,53.759998,54.740002,52.810001,53.650002,53.165203,1137700
2019-10-16,53.560001,53.820000,52.270000,53.000000,52.521076,1362400
2019-10-17,53.290001,53.669998,52.169998,52.450001,51.976048,913600
2019-10-18,52.310001,53.450001,51.299999,51.759998,51.292278,1519400
2019-10-21,52.169998,52.880001,51.240002,51.400002,50.935535,1107700
2019-10-22,51.509998,52.980000,51.270000,52.599998,52.124687,1717500
2019-10-23,52.610001,53.480000,52.180000,53.009998,52.530983,1908400
2019-10-24,53.000000,53.669998,52.779999,53.049999,52.570621,1248900
2019-10-25,53.119999,54.020000,52.910000,53.320000,52.838184,1299800
2019-10-28,53.150002,53.970001,52.650002,52.650002,52.174240,1206200
2019-10-29,52.860001,53.430000,51.849998,52.000000,51.530113,1184400
2019-10-30,52.009998,52.669998,51.500000,51.500000,51.034630,1366300
2019-10-31,51.500000,51.900002,50.599998,51.230000,50.767071,2173300
2019-11-01,51.950001,53.080002,51.450001,53.049999,52.570621,2197600
2019-11-04,53.279999,54.000000,52.139999,52.389999,51.916588,962500
2019-11-05,52.200001,52.450001,51.419998,52.099998,51.629208,1094800
2019-11-06,52.009998,52.330002,51.099998,51.689999,51.222912,1155300
2019-11-07,51.689999,52.000000,51.049999,51.820000,51.351738,1085500
2019-11-08,48.290001,48.680000,44.000000,44.490002,44.087978,16658200
2019-11-11,44.560001,45.500000,43.599998,43.700001,43.305115,5078400
2019-11-12,44.009998,44.009998,40.669998,40.799999,40.431316,7041600
2019-11-13,40.700001,41.650002,40.139999,40.700001,40.332222,4407300
2019-11-14,41.279999,41.480000,39.919998,40.660000,40.292583,3864700
2019-11-18,41.400002,41.520000,39.020000,39.180000,38.825958,3825300
2019-11-19,39.380001,40.160000,38.549999,39.000000,38.647583,3266000
2019-11-21,39.380001,41.490002,39.060001,41.250000,40.877251,6735700
2019-11-22,41.500000,42.619999,40.939999,41.900002,41.521381,5040300
2019-11-25,42.709999,43.950001,41.880001,42.060001,41.679935,5883500
2019-11-26,41.799999,42.099998,41.160000,41.590000,41.214180,2356700
2019-11-27,41.990002,41.990002,40.660000,40.840000,40.470959,2833300
2019-11-28,40.840000,41.299999,40.369999,40.400002,40.034935,1562200
2019-11-29,40.549999,41.060001,40.139999,40.139999,39.777283,1859800
2019-12-02,40.380001,41.430000,40.320000,40.860001,40.490776,2820200
2019-12-03,41.070000,41.259998,40.410000,40.459999,40.094391,1274700
2019-12-04,40.669998,41.330002,40.480000,41.060001,40.688972,1680700
2019-12-05,41.299999,41.580002,40.599998,40.700001,40.332222,1479300
2019-12-06,40.900002,41.450001,40.720001,41.400002,41.025898,1294000
2019-12-09,41.400002,41.770000,41.200001,41.200001,40.827705,1544800
2019-12-10,41.209999,41.740002,41.060001,41.619999,41.243908,2029600
2019-12-11,41.799999,42.090000,41.410000,41.810001,41.432194,2137800
2019-12-12,42.000000,43.430000,41.849998,43.430000,43.037552,3664900
2019-12-13,43.509998,44.180000,42.570000,43.630001,43.235748,4058500
2019-12-16,43.619999,43.689999,42.919998,43.380001,42.988007,2187700
2019-12-17,43.599998,43.630001,42.020000,42.660000,42.274509,1963100
2019-12-18,43.000000,43.070000,42.180000,43.070000,42.680805,1867000
2019-12-19,43.090000,44.860001,42.980000,44.590000,44.187073,2675900
2019-12-20,44.590000,44.650002,43.560001,43.590000,43.196106,2884100
2019-12-23,43.779999,43.810001,43.060001,43.459999,43.067280,1610300
2019-12-26,43.590000,43.689999,43.259998,43.529999,43.529999,1876900
2019-12-27,43.630001,44.160000,43.189999,44.160000,44.160000,1743000
2019-12-30,44.360001,44.900002,43.619999,43.799999,43.799999,2042000
2020-01-02,44.240002,44.730000,44.110001,44.709999,44.709999,2520000
2020-01-03,44.150002,44.730000,43.799999,44.200001,44.200001,2033800
2020-01-06,44.150002,44.349998,43.130001,43.820000,43.820000,2304700
2020-01-07,44.000000,44.590000,43.459999,44.400002,44.400002,2510700
2020-01-08,44.389999,44.520000,43.680000,44.340000,44.340000,2183900
2020-01-09,44.549999,44.730000,43.250000,43.389999,43.389999,2505300
2020-01-10,43.560001,43.700001,41.700001,42.040001,42.040001,2947400
2020-01-13,42.150002,42.910000,41.509998,41.599998,41.599998,3094800
2020-01-14,41.770000,42.540001,41.130001,42.500000,42.500000,3045900
2020-01-15,42.400002,42.400002,41.389999,41.389999,41.389999,2875600
2020-01-16,41.580002,41.730000,41.070000,41.070000,41.070000,2568100
2020-01-17,41.250000,41.820000,40.830002,41.639999,41.639999,2159500
2020-01-20,41.700001,42.060001,40.810001,41.000000,41.000000,2800200
2020-01-21,41.009998,41.160000,39.110001,39.330002,39.330002,4374900
2020-01-22,39.349998,40.330002,38.840000,39.740002,39.740002,3856400
2020-01-23,39.500000,40.680000,38.980000,40.410000,40.410000,2736200
2020-01-24,40.599998,40.930000,39.119999,39.540001,39.540001,2857400
2020-01-27,38.750000,38.849998,37.560001,37.820000,37.820000,3512200
2020-01-28,38.000000,38.840000,37.889999,38.410000,38.410000,2530700
2020-01-29,38.650002,38.750000,37.009998,37.009998,37.009998,2465000
2020-01-30,36.360001,36.630001,35.040001,36.230000,36.230000,3879800
2020-01-31,36.130001,36.500000,35.060001,36.500000,36.500000,3039300
2020-02-03,36.549999,37.450001,36.549999,36.660000,36.660000,2280500
2020-02-04,37.310001,38.009998,37.200001,37.200001,37.200001,2345100
2020-02-05,37.599998,38.110001,36.830002,37.000000,37.000000,1925100
2020-02-06,37.200001,37.549999,36.130001,36.520000,36.520000,1931100
2020-02-07,36.520000,36.529999,34.799999,35.000000,35.000000,2903300
